,name,address,price,rating,amenities
0,OYO 75873 Yash Inn,"Near Reliance Mart, Kharadi, Pune",₹1013,(180 Ratings),"Parking Facility, Reception, Free Wifi"
1,OYO 79064 Sayee Hospitality ,"India, Pune",₹1293,(23 Ratings),"Reception, Caretaker, Security"
2,OYO 45005 Felicita Inn,"Near Fairfield By Marriott, Thite Nagar, Pune",₹1014,(102 Ratings),"Reception, Free Wifi, Geyser"
3,OYO 63548 Airport Avenue ,"Lunkad heritage 1, near sky view apartments, Viman Nagar, Pune, 411014",₹1216,(99 Ratings),"Reception, Free Wifi, Power backup"
4,OYO 80247 Hotel Chetak,"Near Model Colony, Shivajinagar, Pune",₹1645,(31 Ratings),"Coffee/Tea Maker, Reception, Seating Area"
5,OYO 1216 Hotel New White House,"Opposite Durga Mata Mandir, Koregaon Park, Pune",₹1794,(36 Ratings),"Modern Wardrobe, Power backup, AC"
6,OYO 79300 Hotel Marvel Bliss,"Viman Nagar, Pune",₹1014,(70 Ratings),"Private Entrance, Parking Facility, Reception"
7,Capital O 10052 The Royal Samrat,"Near Near Nobel Hospital, Hadapsar, Pune",₹1356,(172 Ratings),"Parking Facility, Free Wifi, Power backup"
8,OYO 77741 Classy studios near pune airport,"kalwad vasti dhanori puneMaharashtra, Pune",₹1308,(227 Ratings),"Parking Facility, Free Wifi, Power backup"
9,OYO 45583 Hotel Galaxy,"Near Koregaon Park, Lane Number 7, Pune",₹1231,(622 Ratings),"Reception, Free Wifi, Geyser"
10,Capital O 81047 Hotel Viraj ,"India, Pune",₹1710,,"Doctor on Call, Reception, Caretaker"
11,OYO 10678 Hotel Nandanvan,"Near Market Yard Road, Gultekdi, Pune",₹1564,(58 Ratings),"Elevator, Free Wifi, Power backup"
12,OYO Home 78030 The Upper Room,"Dhanori, Pune",₹1405,(195 Ratings),"AC, TV, Shower Head"
13,OYO 47208 Homes Pristine Hospitality,"Survey No.4 Lane No 2 Sanjay Park, Patil Buva Nagar. Opposite Zensar IT Park, Near IDBI Bank. Kharadi Pune 411014",₹1014,(142 Ratings),"Parking Facility, Free Wifi, Power backup"
14,OYO 11545 Hotel Gargi executive,"On main street, Near Revenue Colony, Shivaji Nagar, Pune",₹1584,(670 Ratings),"Parking Facility, Free Wifi, Power backup"
15,OYO 78949 Collection O Hotel Royalty,"Erandwane, Pune",₹1936,(48 Ratings),AC
16,OYO 49705 Golden Leaf Airport Hotel,"Near Symboisis Law College, Viman Nagar, Pune",₹1274,(283 Ratings),"Parking Facility, Reception, Free Wifi"
17,OYO Home 77981 Elegant Studios Near Amanora Mall Hadapsar,"Hadapsar, Pune",₹1242,(77 Ratings),"Parking Facility, Power backup, CCTV Cameras"
